trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed
T00000,01-01-2023,05:00:00,Tram,Route_15,Station_31,Station_6,05:02:00,05:55:00,12,3,Storm,5.1,52,46,13,None,500,81,0,1,6,Winter,0
T00001,01-01-2023,05:15:00,Metro,Route_12,Station_49,Station_32,05:16:00,05:55:00,15,9,Rain,34,64,11,11.4,None,0,53,0,0,6,Autumn,1
T00002,01-01-2023,05:30:00,Bus,Route_16,Station_29,Station_42,05:33:00,06:17:00,0,0,Clear,29.5,35,31,14.1,Sports,0,67,1,0,6,Autumn,0
T00003,01-01-2023,05:45:00,Tram,Route_19,Station_26,Station_18,05:49:00,06:08:00,15,10,Clear,27.4,55,41,6.4,None,500,84,0,0,6,Winter,1
T00004,01-01-2023,06:00:00,Tram,Route_8,Station_18,Station_15,06:00:00,06:35:00,-1,14,Snow,0.1,90,30,18.5,None,500,46,0,0,6,Spring,1
T00005,01-01-2023,06:15:00,Metro,Route_17,Station_32,Station_40,06:15:00,06:56:00,7,4,Rain,25.2,44,21,2.3,Protest,0,41,0,0,6,Spring,0
T00006,01-01-2023,06:30:00,Bus,Route_5,Station_22,Station_32,06:34:00,07:01:00,8,28,Storm,3.6,61,16,6.4,Parade,0,22,1,1,6,Spring,1
T00007,01-01-2023,06:45:00,Bus,Route_16,Station_38,Station_9,06:47:00,07:20:00,0,23,Clear,34.1,41,19,0.6,None,0,85,0,0,6,Spring,1
T00008,01-01-2023,07:00:00,Tram,Route_6,Station_17,Station_37,07:01:00,07:59:00,4,19,Clear,-2.9,34,19,5.4,Concert,500,64,0,0,6,Summer,1
T00009,01-01-2023,07:15:00,Train,Route_8,Station_23,Station_10,07:17:00,08:12:00,5,3,Fog,9.1,93,42,4.4,None,50000,88,0,0,6,Summer,0
T00010,01-01-2023,07:30:00,Tram,Route_18,Station_24,Station_20,07:30:00,08:26:00,16,8,Snow,12.1,56,7,1,None,0,53,0,0,6,Winter,1
T00011,01-01-2023,07:45:00,Tram,Route_12,Station_50,Station_6,07:49:00,08:33:00,15,21,Cloudy,28,74,46,9.8,None,2000,91,0,0,6,Summer,1
T00012,01-01-2023,08:00:00,Tram,Route_15,Station_8,Station_48,08:04:00,08:37:00,10,-1,Clear,25.6,64,33,9.4,Parade,0,10,0,0,6,Summer,0
T00013,01-01-2023,08:15:00,Tram,Route_9,Station_41,Station_3,08:17:00,08:44:00,10,22,Storm,10,55,48,1.6,None,10000,62,0,1,6,Summer,1
T00014,01-01-2023,08:30:00,Metro,Route_13,Station_6,Station_42,08:32:00,09:28:00,16,0,Storm,17.6,52,22,5.2,None,500,21,0,0,6,Winter,0
T00015,01-01-2023,08:45:00,Bus,Route_15,Station_5,Station_11,08:46:00,09:22:00,9,11,Fog,28.4,42,37,19.1,None,500,53,0,0,6,Summer,1
T00016,01-01-2023,09:00:00,Metro,Route_10,Station_44,Station_43,09:03:00,09:20:00,14,28,Storm,-4.3,32,52,2.2,Festival,0,88,0,0,6,Spring,1
T00017,01-01-2023,09:15:00,Metro,Route_16,Station_29,Station_17,09:18:00,10:13:00,19,25,Fog,27.1,58,27,6.1,None,0,84,0,0,6,Spring,1
T00018,01-01-2023,09:30:00,Metro,Route_7,Station_28,Station_32,09:31:00,10:10:00,9,6,Clear,32.9,95,12,0.7,None,2000,35,0,1,6,Winter,1
T00019,01-01-2023,09:45:00,Tram,Route_17,Station_11,Station_4,09:48:00,10:05:00,10,17,Clear,-3.7,93,28,3,Festival,0,57,0,0,6,Winter,1
T00020,01-01-2023,10:00:00,Train,Route_7,Station_1,Station_4,10:00:00,10:34:00,9,12,Clear,-3.2,57,7,14,Concert,0,19,0,0,6,Winter,1
T00021,01-01-2023,10:15:00,Bus,Route_14,Station_43,Station_17,10:18:00,10:38:00,16,15,Clear,8.8,65,10,7.3,None,0,15,0,0,6,Autumn,1
T00022,01-01-2023,10:30:00,Train,Route_15,Station_19,Station_41,10:31:00,11:09:00,11,25,Cloudy,-1.5,35,46,9,None,0,91,0,0,6,Summer,1
T00023,01-01-2023,10:45:00,Metro,Route_7,Station_9,Station_19,10:48:00,11:14:00,4,14,Snow,14.2,40,44,3.1,Festival,500,55,0,1,6,Winter,1
T00024,01-01-2023,11:00:00,Metro,Route_9,Station_27,Station_5,11:04:00,11:42:00,10,12,Snow,24.1,67,17,13.6,Festival,0,92,0,0,6,Winter,1
T00025,01-01-2023,11:15:00,Train,Route_19,Station_34,Station_32,11:17:00,12:08:00,3,-3,Cloudy,17.7,63,49,15,None,0,49,0,0,6,Winter,0
T00026,01-01-2023,11:30:00,Train,Route_16,Station_44,Station_22,11:30:00,12:22:00,16,-2,Clear,2.9,96,24,3.6,None,0,89,1,0,6,Spring,0
T00027,01-01-2023,11:45:00,Train,Route_8,Station_4,Station_6,11:49:00,12:38:00,16,11,Storm,21.2,75,48,0.9,None,10000,65,0,0,6,Winter,1
T00028,01-01-2023,12:00:00,Metro,Route_18,Station_36,Station_35,12:04:00,12:58:00,1,24,Fog,22.4,58,21,1.6,None,50000,73,0,0,6,Spring,1
T00029,01-01-2023,12:15:00,Metro,Route_18,Station_18,Station_22,12:16:00,12:44:00,16,-3,Snow,32.3,89,44,13.1,Sports,0,12,0,1,6,Spring,0
T00030,01-01-2023,12:30:00,Bus,Route_20,Station_15,Station_1,12:32:00,13:09:00,6,1,Rain,0.9,83,34,2.7,None,0,14,0,0,6,Autumn,0
